epoch: 1/300, train_loss: 0.8145, train_acc: 0.5104,test_loss:0.6936, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 2/300, train_loss: 0.6948, train_acc: 0.5573,test_loss:0.7038, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 3/300, train_loss: 0.6894, train_acc: 0.5677,test_loss:0.7024, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 4/300, train_loss: 0.7151, train_acc: 0.4792,test_loss:0.6953, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 5/300, train_loss: 0.6984, train_acc: 0.5000,test_loss:0.6932, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 6/300, train_loss: 0.7064, train_acc: 0.5312,test_loss:0.6932, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 7/300, train_loss: 0.7015, train_acc: 0.4896,test_loss:0.6953, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 8/300, train_loss: 0.7018, train_acc: 0.4583,test_loss:0.6933, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 9/300, train_loss: 0.6929, train_acc: 0.5573,test_loss:0.6975, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 10/300, train_loss: 0.6699, train_acc: 0.6198,test_loss:0.7362, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 11/300, train_loss: 0.6979, train_acc: 0.5573,test_loss:0.7061, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 12/300, train_loss: 0.7189, train_acc: 0.4844,test_loss:0.7037, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 13/300, train_loss: 0.7065, train_acc: 0.4792,test_loss:0.6934, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 14/300, train_loss: 0.6938, train_acc: 0.5469,test_loss:0.7006, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 15/300, train_loss: 0.6912, train_acc: 0.5573,test_loss:0.7010, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 16/300, train_loss: 0.6944, train_acc: 0.5260,test_loss:0.6933, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 17/300, train_loss: 0.6962, train_acc: 0.5365,test_loss:0.7008, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 18/300, train_loss: 0.6943, train_acc: 0.5417,test_loss:0.6970, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 19/300, train_loss: 0.6808, train_acc: 0.5990,test_loss:0.7162, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 20/300, train_loss: 0.6888, train_acc: 0.5781,test_loss:0.6999, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 21/300, train_loss: 0.6964, train_acc: 0.5208,test_loss:0.6944, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 22/300, train_loss: 0.6961, train_acc: 0.5156,test_loss:0.6948, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 23/300, train_loss: 0.7070, train_acc: 0.5156,test_loss:0.6986, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 24/300, train_loss: 0.7084, train_acc: 0.5417,test_loss:0.7118, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 25/300, train_loss: 0.6937, train_acc: 0.5417,test_loss:0.6968, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 26/300, train_loss: 0.6800, train_acc: 0.5833,test_loss:0.7235, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
