,x,y_tain_loss,y_train_acc,y_test_acc,TP,TN,FP,FN,AUC,y_train_loss,y_test_loss
0,0,,1.0,0.4333333373069763,0.0,0.0,0.0,0.0,0.0,0.00013259421636272842,3.1813066005706787
1,1,,1.0,0.4333333373069763,0.0,0.0,0.0,0.0,0.0,0.00012089394173623684,3.1906208992004395
2,2,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00010343175154048367,3.202085018157959
3,3,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,8.783329182430559e-05,3.205824851989746
4,4,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00010304218691696103,3.207028865814209
5,5,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00012042286107316613,3.213406801223755
6,6,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00012267994376694938,3.217052936553955
7,7,,1.0,0.42500001192092896,0.0,0.0,0.0,0.0,0.0,0.00011336782184419765,3.2220473289489746
8,8,,1.0,0.42500001192092896,0.0,0.0,0.0,0.0,0.0,7.325104979827302e-05,3.227090358734131
9,9,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00011501253902679309,3.229616403579712
10,10,,1.0,0.42500001192092896,0.0,0.0,0.0,0.0,0.0,0.00013312221623588508,3.237945079803467
11,11,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00011447123749045811,3.2472145557403564
12,12,,1.0,0.42500001192092896,0.0,0.0,0.0,0.0,0.0,9.947431620579057e-05,3.2512013912200928
13,13,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00013154201587894931,3.2545394897460938
14,14,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00013180751799761006,3.259580135345459
15,15,,1.0,0.42500001192092896,0.0,0.0,0.0,0.0,0.0,8.407481194202167e-05,3.2581892013549805
16,16,,1.0,0.42500001192092896,0.0,0.0,0.0,0.0,0.0,0.00011934066878893645,3.266176462173462
17,17,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,9.856856468104525e-05,3.274196147918701
18,18,,1.0,0.4333333373069763,0.0,0.0,0.0,0.0,0.0,8.00991501819226e-05,3.2790942192077637
19,19,,1.0,0.4333333373069763,0.0,0.0,0.0,0.0,0.0,8.068487962494449e-05,3.286121368408203
20,20,,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0001132113799637106,3.290588140487671
21,21,,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,9.895347147903522e-05,3.2969377040863037
22,22,,1.0,0.4333333373069763,0.0,0.0,0.0,0.0,0.0,7.406174427160295e-05,3.2984189987182617
23,23,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,8.368634447227426e-05,3.3024210929870605
24,24,,1.0,0.42916667461395264,0.0,0.0,0.0,0.0,0.0,0.00010492426463315496,3.301945209503174
