epoch: 1/300, train_loss: 0.6663, train_acc: 0.8542,test_loss:0.9002, test_acc: 0.5417,test_recall: 0.1667, test_precision: 0.6667
epoch: 2/300, train_loss: 0.5745, train_acc: 0.7604,test_loss:0.7120, test_acc: 0.5417,test_recall: 0.3667, test_precision: 0.5641
epoch: 3/300, train_loss: 0.4438, train_acc: 0.8385,test_loss:0.7175, test_acc: 0.5417,test_recall: 0.5500, test_precision: 0.5410
epoch: 4/300, train_loss: 0.3512, train_acc: 0.8906,test_loss:0.7353, test_acc: 0.5417,test_recall: 0.5333, test_precision: 0.5424
epoch: 5/300, train_loss: 0.1957, train_acc: 0.9531,test_loss:1.0063, test_acc: 0.5667,test_recall: 0.2333, test_precision: 0.7000
epoch: 6/300, train_loss: 0.1639, train_acc: 0.9531,test_loss:0.7993, test_acc: 0.5417,test_recall: 0.5000, test_precision: 0.5455
epoch: 7/300, train_loss: 0.1481, train_acc: 0.9635,test_loss:0.8215, test_acc: 0.5500,test_recall: 0.3833, test_precision: 0.5750
epoch: 8/300, train_loss: 0.1052, train_acc: 0.9740,test_loss:0.9809, test_acc: 0.5583,test_recall: 0.2833, test_precision: 0.6296
epoch: 9/300, train_loss: 0.0606, train_acc: 0.9948,test_loss:1.0516, test_acc: 0.5583,test_recall: 0.3000, test_precision: 0.6207
epoch: 10/300, train_loss: 0.0268, train_acc: 0.9948,test_loss:0.9842, test_acc: 0.5500,test_recall: 0.3500, test_precision: 0.5833
epoch: 11/300, train_loss: 0.0393, train_acc: 0.9844,test_loss:1.0348, test_acc: 0.5750,test_recall: 0.3833, test_precision: 0.6216
epoch: 12/300, train_loss: 0.0124, train_acc: 1.0000,test_loss:1.1657, test_acc: 0.5500,test_recall: 0.3167, test_precision: 0.5938
epoch: 13/300, train_loss: 0.0364, train_acc: 0.9948,test_loss:1.0732, test_acc: 0.5667,test_recall: 0.4000, test_precision: 0.6000
epoch: 14/300, train_loss: 0.0183, train_acc: 1.0000,test_loss:1.0122, test_acc: 0.5750,test_recall: 0.5500, test_precision: 0.5789
epoch: 15/300, train_loss: 0.0104, train_acc: 1.0000,test_loss:1.1525, test_acc: 0.5583,test_recall: 0.3833, test_precision: 0.5897
epoch: 16/300, train_loss: 0.0040, train_acc: 1.0000,test_loss:1.3287, test_acc: 0.5417,test_recall: 0.3167, test_precision: 0.5758
epoch: 17/300, train_loss: 0.0030, train_acc: 1.0000,test_loss:1.3347, test_acc: 0.5500,test_recall: 0.3333, test_precision: 0.5882
