,x,y_tain_loss,y_train_acc,y_test_acc,TP,TN,FP,FN,AUC,y_train_loss,y_test_loss
0,0,,0.9635416666666666,0.49166667461395264,77.0,41.0,79.0,43.0,0.49166664481163025,0.31188533765574294,1384.083740234375
1,1,,0.9375,0.5541666746139526,60.0,73.0,47.0,60.0,0.5541666746139526,0.30492885783314705,9.912715911865234
2,2,,0.96875,0.5333333611488342,41.0,87.0,33.0,79.0,0.5333333611488342,0.24151155600945154,443.5633850097656
3,3,,0.9427083333333334,0.6833333373069763,76.0,88.0,32.0,44.0,0.6833333373069763,0.229757654791077,1.0808367729187012
4,4,,0.9791666666666666,0.7666666507720947,73.0,111.0,9.0,47.0,0.7666666507720947,0.24327598387996355,0.49388471245765686
5,5,,0.9583333333333334,0.4833333194255829,78.0,38.0,82.0,42.0,0.4833333194255829,0.23659345352401337,67.61908721923828
6,6,,0.9479166666666666,0.42500001192092896,44.0,58.0,62.0,76.0,0.42500001192092896,0.24747459962964058,169.76821899414062
7,7,,0.9583333333333334,0.5083333253860474,2.0,120.0,0.0,118.0,0.5083333253860474,0.2503407361606757,4.011723041534424
8,8,,0.953125,0.4791666567325592,86.0,29.0,91.0,34.0,0.4791666567325592,0.257398206119736,647.0374145507812
9,9,,0.9739583333333334,0.44999998807907104,56.0,52.0,68.0,64.0,0.44999998807907104,0.2009886552890142,3.527132272720337
10,10,,0.96875,0.5041666626930237,66.0,55.0,65.0,54.0,0.5041666626930237,0.18712431627015272,178.60543823242188
11,11,,0.9739583333333334,0.5,0.0,120.0,0.0,120.0,0.5,0.1828045081347227,4.196090221405029
12,12,,0.96875,0.6875,52.0,113.0,7.0,68.0,0.6875,0.17986591657002768,2.339660882949829
13,13,,0.9583333333333334,0.5958333611488342,37.0,106.0,14.0,83.0,0.5958333611488342,0.20585563064863285,2.174743413925171
14,14,,0.9739583333333334,0.5,0.0,120.0,0.0,120.0,0.5,0.14796170747528473,5.758979797363281
15,15,,0.96875,0.5,0.0,120.0,0.0,120.0,0.5,0.14100801028932133,2.5713703632354736
16,16,,0.9739583333333334,0.5083333253860474,7.0,115.0,5.0,113.0,0.5083333253860474,0.14612338319420815,3.9247984886169434
17,17,,0.9895833333333334,0.5291666388511658,69.0,58.0,62.0,51.0,0.5291666984558105,0.10232109871382515,6.838514804840088
18,18,,0.9791666666666666,0.4833333194255829,116.0,0.0,120.0,4.0,0.4833333194255829,0.13414836574035385,743.4981689453125
19,19,,0.984375,0.3791666626930237,77.0,14.0,106.0,43.0,0.3791666626930237,0.11819378208989899,129.4750518798828
20,20,,0.984375,0.4583333432674408,80.0,30.0,90.0,40.0,0.4583333432674408,0.0846486808732152,2.710336446762085
21,21,,0.9895833333333334,0.4583333432674408,109.0,1.0,119.0,11.0,0.4583333432674408,0.07953140418976545,31.2933406829834
22,22,,0.9791666666666666,0.4541666805744171,109.0,0.0,120.0,11.0,0.4541666805744171,0.13603272257993618,24.449987411499023
23,23,,0.9895833333333334,0.5708333253860474,27.0,110.0,10.0,93.0,0.5708333253860474,0.16012293162445226,3.7314934730529785
24,24,,0.984375,0.5,0.0,120.0,0.0,120.0,0.5,0.14530939732988676,11.229177474975586
25,25,,0.984375,0.7833333611488342,69.0,119.0,1.0,51.0,0.7833333611488342,0.11318729887716472,0.6350051760673523
26,26,,0.9947916666666666,0.5,0.0,120.0,0.0,120.0,0.5,0.07255630924676855,10.78207015991211
27,27,,0.9895833333333334,0.4749999940395355,113.0,1.0,119.0,7.0,0.4749999940395355,0.09547275413448612,63.12504196166992
28,28,,0.9947916666666666,0.4583333432674408,71.0,39.0,81.0,49.0,0.4583333134651184,0.09317021436678867,1600.5208740234375
29,29,,0.9427083333333334,0.5,0.0,120.0,0.0,120.0,0.5,0.15587046397073814,2.3896169662475586
30,30,,0.9635416666666666,0.5041666626930237,1.0,120.0,0.0,119.0,0.5041666626930237,0.09701121582960089,2.581634283065796
31,31,,0.9635416666666666,0.6583333611488342,38.0,120.0,0.0,82.0,0.6583333015441895,0.10670459371370573,0.9426196217536926
32,32,,0.9791666666666666,0.875,91.0,119.0,1.0,29.0,0.875,0.06449822724486391,0.32558074593544006
33,33,,0.9895833333333334,0.8083333373069763,74.0,120.0,0.0,46.0,0.8083333373069763,0.03946562414057553,0.4541580080986023
34,34,,0.9895833333333334,0.7749999761581421,66.0,120.0,0.0,54.0,0.7749999761581421,0.043648104066960514,0.5807073712348938
35,35,,1.0,0.7875000238418579,69.0,120.0,0.0,51.0,0.7875000238418579,0.02942202682606876,0.4955151677131653
36,36,,0.984375,0.925000011920929,104.0,118.0,2.0,16.0,0.925000011920929,0.06867805037957926,0.21712474524974823
37,37,,0.9895833333333334,0.5541666746139526,13.0,120.0,0.0,107.0,0.5541666746139526,0.05489057139493525,1.670427680015564
38,38,,0.984375,0.6166666746139526,28.0,120.0,0.0,92.0,0.6166666746139526,0.04757028492167592,1.1191686391830444
39,39,,0.984375,0.9208333492279053,103.0,118.0,2.0,17.0,0.9208333492279053,0.04518231505062431,0.24074190855026245
40,40,,0.9895833333333334,0.8958333134651184,96.0,119.0,1.0,24.0,0.8958333134651184,0.04233982452812294,0.33072158694267273
41,41,,0.9895833333333334,0.8666666746139526,114.0,94.0,26.0,6.0,0.8666666746139526,0.03207899366195003,0.3489784300327301
42,42,,0.9947916666666666,0.9166666865348816,111.0,109.0,11.0,9.0,0.9166666269302368,0.02980329511531939,0.2257516086101532
43,43,,0.9791666666666666,0.5291666388511658,120.0,7.0,113.0,0.0,0.5291666984558105,0.07275264981823663,5.969674110412598
44,44,,0.984375,0.7083333134651184,117.0,53.0,67.0,3.0,0.7083333730697632,0.05439972054834167,1.0682607889175415
45,45,,0.9947916666666666,0.887499988079071,94.0,119.0,1.0,26.0,0.887499988079071,0.02454152548064788,0.35603389143943787
46,46,,0.984375,0.574999988079071,18.0,120.0,0.0,102.0,0.574999988079071,0.04743956489255652,1.6207702159881592
47,47,,0.984375,0.7666666507720947,117.0,67.0,53.0,3.0,0.7666666507720947,0.04768752555052439,0.6506515741348267
48,48,,1.0,0.7250000238418579,117.0,57.0,63.0,3.0,0.7250000238418579,0.018058339968168486,0.929664671421051
49,49,,0.9947916666666666,0.9291666746139526,113.0,110.0,10.0,7.0,0.9291666746139526,0.0233108684187755,0.2226649820804596
