,x,y_tain_loss,y_train_acc,y_test_acc,TP,TN,FP,FN,AUC,y_train_loss,y_test_loss
0,0,,0.9583333333333334,0.550000011920929,115.0,109.0,11.0,5.0,0.9333333,0.2524481552342574,1.2606918811798096
1,1,,0.9895833333333334,0.6166666746139526,115.0,109.0,11.0,5.0,0.9333333,0.1753090030203263,4.050073146820068
2,2,,0.9635416666666666,0.4958333373069763,115.0,109.0,11.0,5.0,0.9333333,0.30287175439298153,36.39426040649414
3,3,,0.96875,0.824999988079071,115.0,109.0,11.0,5.0,0.9333333,0.21236477543910345,0.5794063210487366
4,4,,0.96875,0.6666666865348816,115.0,109.0,11.0,5.0,0.9333333,0.1647678050212562,1.022662878036499
5,5,,0.9635416666666666,0.5041666626930237,115.0,109.0,11.0,5.0,0.9333333,0.2555666295811534,2381.368896484375
6,6,,0.9635416666666666,0.46666666865348816,115.0,109.0,11.0,5.0,0.9333333,0.1632892433553934,925.9712524414062
7,7,,0.9739583333333334,0.4958333373069763,115.0,109.0,11.0,5.0,0.9333333,0.20484626417358717,20.45730972290039
8,8,,0.9791666666666666,0.5416666865348816,115.0,109.0,11.0,5.0,0.9333333,0.19769323275734982,9.587571144104004
9,9,,0.9583333333333334,0.8541666865348816,115.0,109.0,11.0,5.0,0.9333333,0.19291926423708597,0.32212963700294495
10,10,,0.9635416666666666,0.5083333253860474,115.0,109.0,11.0,5.0,0.9333333,0.19427125280102095,1.2167632579803467
11,11,,0.96875,0.5625,115.0,109.0,11.0,5.0,0.9333333,0.15291026576111713,1.115099549293518
12,12,,0.9739583333333334,0.5,115.0,109.0,11.0,5.0,0.9333333,0.12057642514506976,3.037398099899292
13,13,,0.984375,0.6083333492279053,115.0,109.0,11.0,5.0,0.9333333,0.09657743596471846,1.255810022354126
14,14,,0.984375,0.7458333373069763,115.0,109.0,11.0,5.0,0.9333333,0.12872706850369772,0.524880588054657
15,15,,0.9947916666666666,0.5375000238418579,115.0,109.0,11.0,5.0,0.9333333,0.08883476040015618,2.134974718093872
16,16,,0.9947916666666666,0.5,115.0,109.0,11.0,5.0,0.9333333,0.10454814430947106,1.8292732238769531
17,17,,0.984375,0.6625000238418579,115.0,109.0,11.0,5.0,0.9333333,0.13873336731921881,0.8701168894767761
18,18,,1.0,0.4833333194255829,115.0,109.0,11.0,5.0,0.9333333,0.11267766154681642,8.592068672180176
19,19,,0.9895833333333334,0.5,115.0,109.0,11.0,5.0,0.9333333,0.17150836484506726,1.8964312076568604
20,20,,0.984375,0.8458333611488342,115.0,109.0,11.0,5.0,0.9333333,0.11029841292959948,0.44144928455352783
21,21,,0.984375,0.5375000238418579,115.0,109.0,11.0,5.0,0.9333333,0.15875150837625066,1.6119921207427979
22,22,,0.9895833333333334,0.5541666746139526,115.0,109.0,11.0,5.0,0.9333333,0.1032305263603727,19.544681549072266
23,23,,1.0,0.5083333253860474,115.0,109.0,11.0,5.0,0.9333333,0.09422445502908279,2.0604159832000732
24,24,,0.9947916666666666,0.7124999761581421,115.0,109.0,11.0,5.0,0.9333333,0.08226725303878386,0.8369608521461487
25,25,,0.984375,0.800000011920929,115.0,109.0,11.0,5.0,0.9333333,0.11831910101075967,0.46457499265670776
26,26,,0.984375,0.5666666626930237,115.0,109.0,11.0,5.0,0.9333333,0.1596827575316032,1.3403152227401733
27,27,,1.0,0.7166666388511658,115.0,109.0,11.0,5.0,0.9333333,0.0629629095395406,0.5562534332275391
28,28,,0.9947916666666666,0.8125,115.0,109.0,11.0,5.0,0.9333333,0.06598093756474555,0.5991232395172119
29,29,,0.9895833333333334,0.9125000238418579,115.0,109.0,11.0,5.0,0.9333333,0.03902791587946316,0.2785707712173462
30,30,,0.953125,0.8999999761581421,115.0,109.0,11.0,5.0,0.9333333,0.14349353375534216,0.2605598568916321
31,31,,0.984375,0.9208333492279053,115.0,109.0,11.0,5.0,0.9333333,0.060995103946576514,0.23802587389945984
32,32,,0.9947916666666666,0.8666666746139526,115.0,109.0,11.0,5.0,0.9333333,0.03649796716247996,0.36947426199913025
33,33,,0.9635416666666666,0.6958333253860474,115.0,109.0,11.0,5.0,0.9333333,0.08195553161203861,1.4649372100830078
34,34,,0.9739583333333334,0.9083333611488342,115.0,109.0,11.0,5.0,0.9333333,0.1275742271488222,0.19843986630439758
35,35,,0.9791666666666666,0.8958333134651184,115.0,109.0,11.0,5.0,0.9333333,0.06616931796694796,0.2864108085632324
36,36,,0.9895833333333334,0.9458333253860474,115.0,109.0,11.0,5.0,0.9333333,0.037179533314580716,0.17957498133182526
37,37,,0.9947916666666666,0.8833333253860474,115.0,109.0,11.0,5.0,0.9333333,0.03691058613670369,0.3718503713607788
38,38,,0.984375,0.9333333373069763,115.0,109.0,11.0,5.0,0.9333333,0.04160937915245692,0.1978984922170639
39,39,,0.9895833333333334,0.824999988079071,115.0,109.0,11.0,5.0,0.9333333,0.05404074373655021,0.654435396194458
40,40,,0.9947916666666666,0.925000011920929,115.0,109.0,11.0,5.0,0.9333333,0.03054888117670392,0.19199179112911224
41,41,,0.9947916666666666,0.925000011920929,115.0,109.0,11.0,5.0,0.9333333,0.03626888035796583,0.17661349475383759
42,42,,1.0,0.9291666746139526,115.0,109.0,11.0,5.0,0.9333333,0.018717509500371914,0.16840796172618866
43,43,,1.0,0.925000011920929,115.0,109.0,11.0,5.0,0.9333333,0.022936788814452786,0.20418813824653625
44,44,,1.0,0.9208333492279053,115.0,109.0,11.0,5.0,0.9333333,0.027037799474783242,0.21899761259555817
45,45,,0.9895833333333334,0.9375,115.0,109.0,11.0,5.0,0.9333333,0.03649133425399972,0.16765424609184265
46,46,,0.9947916666666666,0.9375,115.0,109.0,11.0,5.0,0.9333333,0.041897660858618714,0.2083301544189453
47,47,,0.9947916666666666,0.9125000238418579,115.0,109.0,11.0,5.0,0.9333333,0.04384547770799448,0.273790180683136
48,48,,0.9947916666666666,0.8958333134651184,115.0,109.0,11.0,5.0,0.9333333,0.03826328902505338,0.2854883372783661
49,49,,0.9895833333333334,0.8999999761581421,115.0,109.0,11.0,5.0,0.9333333,0.04325738351326436,0.3305068612098694
