epoch: 1/300, train_loss: 0.5719, train_acc: 0.7812,test_loss:1.5572, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 2/300, train_loss: 0.3577, train_acc: 0.9167,test_loss:13840.4375, test_acc: 0.5000,test_recall: 0.8333, test_precision: 0.5000
epoch: 3/300, train_loss: 0.4661, train_acc: 0.8802,test_loss:2455.7417, test_acc: 0.5417,test_recall: 0.7167, test_precision: 0.5309
epoch: 4/300, train_loss: 0.3604, train_acc: 0.9062,test_loss:5642.0562, test_acc: 0.4750,test_recall: 0.8667, test_precision: 0.4860
epoch: 5/300, train_loss: 0.4704, train_acc: 0.8542,test_loss:319.0262, test_acc: 0.4833,test_recall: 0.9167, test_precision: 0.4911
epoch: 6/300, train_loss: 0.3874, train_acc: 0.8698,test_loss:451.2272, test_acc: 0.5167,test_recall: 0.6833, test_precision: 0.5125
epoch: 7/300, train_loss: 0.4327, train_acc: 0.8438,test_loss:9.0210, test_acc: 0.4750,test_recall: 0.4167, test_precision: 0.4717
epoch: 8/300, train_loss: 0.3152, train_acc: 0.9375,test_loss:0.9350, test_acc: 0.5000,test_recall: 0.0000, test_precision: 0.0000
epoch: 9/300, train_loss: 0.3958, train_acc: 0.8490,test_loss:14.2621, test_acc: 0.5417,test_recall: 0.9333, test_precision: 0.5234
epoch: 10/300, train_loss: 0.2960, train_acc: 0.9271,test_loss:0.7854, test_acc: 0.4833,test_recall: 0.0167, test_precision: 0.2500
epoch: 11/300, train_loss: 0.3377, train_acc: 0.8802,test_loss:0.8903, test_acc: 0.4917,test_recall: 0.0000, test_precision: 0.0000
epoch: 12/300, train_loss: 0.2731, train_acc: 0.9323,test_loss:0.9143, test_acc: 0.4833,test_recall: 0.0000, test_precision: 0.0000
epoch: 13/300, train_loss: 0.2649, train_acc: 0.9271,test_loss:1.2670, test_acc: 0.4750,test_recall: 0.0500, test_precision: 0.3333
epoch: 14/300, train_loss: 0.3326, train_acc: 0.9010,test_loss:0.8606, test_acc: 0.5000,test_recall: 0.2833, test_precision: 0.5000
epoch: 15/300, train_loss: 0.3686, train_acc: 0.8854,test_loss:0.9807, test_acc: 0.4667,test_recall: 0.0000, test_precision: 0.0000
epoch: 16/300, train_loss: 0.3353, train_acc: 0.9219,test_loss:0.6796, test_acc: 0.5583,test_recall: 0.3833, test_precision: 0.5897
