epoch: 1/5, train_loss: 0.6127, train_acc: 0.7292,test_loss:1796.9989, test_acc: 0.5000,test_recall: 0.9583, test_precision: 0.5000
epoch: 2/5, train_loss: 0.5632, train_acc: 0.8385,test_loss:28769.9863, test_acc: 0.4875,test_recall: 0.7000, test_precision: 0.4912
epoch: 3/5, train_loss: 0.4820, train_acc: 0.9010,test_loss:823.3292, test_acc: 0.5042,test_recall: 0.0833, test_precision: 0.5263
epoch: 4/5, train_loss: 0.3766, train_acc: 0.9323,test_loss:487.6575, test_acc: 0.4667,test_recall: 0.4000, test_precision: 0.4615
epoch: 1/300, train_loss: 0.6573, train_acc: 0.8958,test_loss:4319.9858, test_acc: 0.4583,test_recall: 0.3417, test_precision: 0.4457
epoch: 2/300, train_loss: 0.3931, train_acc: 0.9583,test_loss:446.6366, test_acc: 0.5208,test_recall: 0.3500, test_precision: 0.5316
epoch: 3/300, train_loss: 0.3925, train_acc: 0.9323,test_loss:145.3176, test_acc: 0.5375,test_recall: 0.4000, test_precision: 0.5517
epoch: 4/300, train_loss: 0.3822, train_acc: 0.9323,test_loss:3.5958, test_acc: 0.4792,test_recall: 0.7167, test_precision: 0.4859
epoch: 5/300, train_loss: 0.3511, train_acc: 0.9583,test_loss:0.5997, test_acc: 0.6583,test_recall: 0.4500, test_precision: 0.7714
epoch: 6/300, train_loss: 0.2594, train_acc: 0.9688,test_loss:12.8227, test_acc: 0.5083,test_recall: 0.8333, test_precision: 0.5051
epoch: 7/300, train_loss: 0.4247, train_acc: 0.9323,test_loss:8.9174, test_acc: 0.5833,test_recall: 0.2500, test_precision: 0.7500
epoch: 8/300, train_loss: 0.2575, train_acc: 0.9427,test_loss:1.2255, test_acc: 0.5083,test_recall: 0.3000, test_precision: 0.5143
epoch: 9/300, train_loss: 0.3483, train_acc: 0.9219,test_loss:0.9656, test_acc: 0.5625,test_recall: 0.3250, test_precision: 0.6190
epoch: 10/300, train_loss: 0.2594, train_acc: 0.9479,test_loss:43.6623, test_acc: 0.5333,test_recall: 0.2833, test_precision: 0.5667
epoch: 11/300, train_loss: 0.3757, train_acc: 0.9583,test_loss:1.2921, test_acc: 0.5833,test_recall: 0.4583, test_precision: 0.6111
epoch: 12/300, train_loss: 0.3337, train_acc: 0.9740,test_loss:2.5174, test_acc: 0.5208,test_recall: 0.0583, test_precision: 0.7778
epoch: 13/300, train_loss: 0.3712, train_acc: 0.9323,test_loss:186.6057, test_acc: 0.5583,test_recall: 0.3000, test_precision: 0.6207
epoch: 14/300, train_loss: 0.3281, train_acc: 0.9323,test_loss:121.3207, test_acc: 0.5000,test_recall: 0.5917, test_precision: 0.5000
epoch: 15/300, train_loss: 0.2400, train_acc: 0.9427,test_loss:196.8857, test_acc: 0.5583,test_recall: 0.3750, test_precision: 0.5921
epoch: 16/300, train_loss: 0.2320, train_acc: 0.9531,test_loss:5.0274, test_acc: 0.5000,test_recall: 0.9250, test_precision: 0.5000
epoch: 17/300, train_loss: 0.3275, train_acc: 0.9271,test_loss:117.7295, test_acc: 0.4625,test_recall: 0.2750, test_precision: 0.4400
epoch: 18/300, train_loss: 0.2651, train_acc: 0.9479,test_loss:24.3150, test_acc: 0.6208,test_recall: 0.4417, test_precision: 0.6883
epoch: 19/300, train_loss: 0.2941, train_acc: 0.9479,test_loss:134.8506, test_acc: 0.5750,test_recall: 0.5250, test_precision: 0.5833
epoch: 20/300, train_loss: 0.2550, train_acc: 0.9375,test_loss:134.5825, test_acc: 0.5500,test_recall: 0.7667, test_precision: 0.5349
epoch: 21/300, train_loss: 0.2386, train_acc: 0.9479,test_loss:1.5392, test_acc: 0.5708,test_recall: 0.5583, test_precision: 0.5726
epoch: 22/300, train_loss: 0.3516, train_acc: 0.9062,test_loss:12.3136, test_acc: 0.6167,test_recall: 0.3333, test_precision: 0.7692
epoch: 23/300, train_loss: 0.2659, train_acc: 0.9375,test_loss:141.1467, test_acc: 0.5500,test_recall: 0.3167, test_precision: 0.5938
epoch: 24/300, train_loss: 0.2022, train_acc: 0.9635,test_loss:13.2113, test_acc: 0.6458,test_recall: 0.3583, test_precision: 0.8431
epoch: 25/300, train_loss: 0.2556, train_acc: 0.9375,test_loss:0.7526, test_acc: 0.6708,test_recall: 0.8417, test_precision: 0.6273
epoch: 26/300, train_loss: 0.1166, train_acc: 0.9740,test_loss:13.3000, test_acc: 0.6250,test_recall: 0.5667, test_precision: 0.6415
epoch: 27/300, train_loss: 0.3030, train_acc: 0.9427,test_loss:47.9936, test_acc: 0.5042,test_recall: 0.8333, test_precision: 0.5025
epoch: 28/300, train_loss: 0.3060, train_acc: 0.9479,test_loss:3.5736, test_acc: 0.6333,test_recall: 0.3417, test_precision: 0.8200
epoch: 29/300, train_loss: 0.2569, train_acc: 0.9479,test_loss:7.0815, test_acc: 0.6667,test_recall: 0.4500, test_precision: 0.7941
epoch: 30/300, train_loss: 0.2018, train_acc: 0.9167,test_loss:7.4469, test_acc: 0.7125,test_recall: 0.6083, test_precision: 0.7684
epoch: 31/300, train_loss: 0.1801, train_acc: 0.9115,test_loss:6.3565, test_acc: 0.7458,test_recall: 0.6917, test_precision: 0.7757
epoch: 32/300, train_loss: 0.1581, train_acc: 0.9531,test_loss:13.6317, test_acc: 0.7292,test_recall: 0.7000, test_precision: 0.7434
epoch: 33/300, train_loss: 0.2251, train_acc: 0.9062,test_loss:6.5042, test_acc: 0.7708,test_recall: 0.6833, test_precision: 0.8283
epoch: 34/300, train_loss: 0.1662, train_acc: 0.9323,test_loss:3.9675, test_acc: 0.7208,test_recall: 0.6417, test_precision: 0.7624
epoch: 35/300, train_loss: 0.1479, train_acc: 0.9531,test_loss:6.5082, test_acc: 0.7167,test_recall: 0.6417, test_precision: 0.7549
epoch: 36/300, train_loss: 0.1679, train_acc: 0.9427,test_loss:7.1324, test_acc: 0.7333,test_recall: 0.8167, test_precision: 0.7000
epoch: 37/300, train_loss: 0.0906, train_acc: 0.9844,test_loss:1.1110, test_acc: 0.7292,test_recall: 0.7333, test_precision: 0.7273
epoch: 38/300, train_loss: 0.2017, train_acc: 0.9427,test_loss:2.8914, test_acc: 0.7208,test_recall: 0.5333, test_precision: 0.8533
epoch: 39/300, train_loss: 0.2314, train_acc: 0.9115,test_loss:2.9073, test_acc: 0.7125,test_recall: 0.7667, test_precision: 0.6917
epoch: 40/300, train_loss: 0.1966, train_acc: 0.9167,test_loss:8.2266, test_acc: 0.6958,test_recall: 0.7417, test_precision: 0.6794
epoch: 41/300, train_loss: 0.1519, train_acc: 0.9271,test_loss:3.3141, test_acc: 0.7083,test_recall: 0.6500, test_precision: 0.7358
epoch: 42/300, train_loss: 0.2061, train_acc: 0.9323,test_loss:6.7607, test_acc: 0.7333,test_recall: 0.7667, test_precision: 0.7188
epoch: 43/300, train_loss: 0.2130, train_acc: 0.9323,test_loss:7.1125, test_acc: 0.7167,test_recall: 0.5500, test_precision: 0.8250
epoch: 44/300, train_loss: 0.1545, train_acc: 0.9531,test_loss:10.2889, test_acc: 0.7625,test_recall: 0.7417, test_precision: 0.7739
epoch: 45/300, train_loss: 0.1570, train_acc: 0.9635,test_loss:5.1120, test_acc: 0.7583,test_recall: 0.7083, test_precision: 0.7870
epoch: 46/300, train_loss: 0.1559, train_acc: 0.9427,test_loss:11.0192, test_acc: 0.7375,test_recall: 0.7000, test_precision: 0.7568
epoch: 47/300, train_loss: 0.1595, train_acc: 0.9323,test_loss:9.7760, test_acc: 0.7750,test_recall: 0.7000, test_precision: 0.8235
epoch: 48/300, train_loss: 0.1375, train_acc: 0.9688,test_loss:2.9575, test_acc: 0.7583,test_recall: 0.6500, test_precision: 0.8298
epoch: 49/300, train_loss: 0.1535, train_acc: 0.9427,test_loss:3.5122, test_acc: 0.7625,test_recall: 0.6417, test_precision: 0.8462
epoch: 50/300, train_loss: 0.1969, train_acc: 0.9167,test_loss:11.6846, test_acc: 0.7125,test_recall: 0.5083, test_precision: 0.8592
