,x,y_tain_loss,y_train_acc,y_test_acc,TP,TN,FP,FN,AUC,y_train_loss,y_test_loss
0,0,,0.8958333333333334,0.4583333432674408,85.0,92.0,28.0,35.0,0.73749995,0.6573375711838404,4319.98583984375
1,1,,0.9583333333333334,0.5208333134651184,85.0,92.0,28.0,35.0,0.73749995,0.3930543089906375,446.6366271972656
2,2,,0.9322916666666666,0.5375000238418579,85.0,92.0,28.0,35.0,0.73749995,0.3924923042456309,145.31759643554688
3,3,,0.9322916666666666,0.4791666567325592,85.0,92.0,28.0,35.0,0.73749995,0.38223026134073734,3.595782518386841
4,4,,0.9583333333333334,0.6583333611488342,85.0,92.0,28.0,35.0,0.73749995,0.3511262225608031,0.5997354388237
5,5,,0.96875,0.5083333253860474,85.0,92.0,28.0,35.0,0.73749995,0.2594327839712302,12.82266616821289
6,6,,0.9322916666666666,0.5833333134651184,85.0,92.0,28.0,35.0,0.73749995,0.42467058449983597,8.917435646057129
7,7,,0.9427083333333334,0.5083333253860474,85.0,92.0,28.0,35.0,0.73749995,0.25745353785653907,1.2255396842956543
8,8,,0.921875,0.5625,85.0,92.0,28.0,35.0,0.73749995,0.34832380153238773,0.9656040668487549
9,9,,0.9479166666666666,0.5333333611488342,85.0,92.0,28.0,35.0,0.73749995,0.25936829050381977,43.662296295166016
10,10,,0.9583333333333334,0.5833333134651184,85.0,92.0,28.0,35.0,0.73749995,0.37570144670705,1.2920793294906616
11,11,,0.9739583333333334,0.5208333134651184,85.0,92.0,28.0,35.0,0.73749995,0.33366324628392857,2.517414093017578
12,12,,0.9322916666666666,0.5583333373069763,85.0,92.0,28.0,35.0,0.73749995,0.3711906671524048,186.605712890625
13,13,,0.9322916666666666,0.5,85.0,92.0,28.0,35.0,0.73749995,0.3280710068841775,121.32071685791016
14,14,,0.9427083333333334,0.5583333373069763,85.0,92.0,28.0,35.0,0.73749995,0.24001325542728105,196.8856658935547
15,15,,0.953125,0.5,85.0,92.0,28.0,35.0,0.73749995,0.23198284395039082,5.027382850646973
16,16,,0.9270833333333334,0.4625000059604645,85.0,92.0,28.0,35.0,0.73749995,0.3275325496991475,117.72953796386719
17,17,,0.9479166666666666,0.6208333373069763,85.0,92.0,28.0,35.0,0.73749995,0.2651255497088035,24.31498146057129
18,18,,0.9479166666666666,0.574999988079071,85.0,92.0,28.0,35.0,0.73749995,0.29408201575279236,134.85060119628906
19,19,,0.9375,0.550000011920929,85.0,92.0,28.0,35.0,0.73749995,0.25500319090982276,134.58250427246094
20,20,,0.9479166666666666,0.5708333253860474,85.0,92.0,28.0,35.0,0.73749995,0.23857589097072682,1.5391666889190674
21,21,,0.90625,0.6166666746139526,85.0,92.0,28.0,35.0,0.73749995,0.35163410132129985,12.3135986328125
22,22,,0.9375,0.550000011920929,85.0,92.0,28.0,35.0,0.73749995,0.2658577213684718,141.14666748046875
23,23,,0.9635416666666666,0.6458333134651184,85.0,92.0,28.0,35.0,0.73749995,0.20220020289222398,13.211297035217285
24,24,,0.9375,0.6708333492279053,85.0,92.0,28.0,35.0,0.73749995,0.2556438706815243,0.7526044845581055
25,25,,0.9739583333333334,0.625,85.0,92.0,28.0,35.0,0.73749995,0.11661782829711835,13.30002212524414
26,26,,0.9427083333333334,0.5041666626930237,85.0,92.0,28.0,35.0,0.73749995,0.3029541466385126,47.99360656738281
27,27,,0.9479166666666666,0.6333333253860474,85.0,92.0,28.0,35.0,0.73749995,0.30601130922635394,3.5735867023468018
28,28,,0.9479166666666666,0.6666666865348816,85.0,92.0,28.0,35.0,0.73749995,0.2568886075168848,7.081480979919434
29,29,,0.9166666666666666,0.7124999761581421,85.0,92.0,28.0,35.0,0.73749995,0.2017523596684138,7.4468913078308105
30,30,,0.9114583333333334,0.7458333373069763,85.0,92.0,28.0,35.0,0.73749995,0.18013597962756953,6.356540203094482
31,31,,0.953125,0.7291666865348816,85.0,92.0,28.0,35.0,0.73749995,0.15806594459960857,13.631684303283691
32,32,,0.90625,0.7708333134651184,85.0,92.0,28.0,35.0,0.73749995,0.2250557697067658,6.504212379455566
33,33,,0.9322916666666666,0.7208333611488342,85.0,92.0,28.0,35.0,0.73749995,0.16618287501235804,3.9674720764160156
34,34,,0.953125,0.7166666388511658,85.0,92.0,28.0,35.0,0.73749995,0.14793306620170674,6.5081658363342285
35,35,,0.9427083333333334,0.7333333492279053,85.0,92.0,28.0,35.0,0.73749995,0.1679046656936407,7.132447242736816
36,36,,0.984375,0.7291666865348816,85.0,92.0,28.0,35.0,0.73749995,0.09056220793475707,1.1109516620635986
37,37,,0.9427083333333334,0.7208333611488342,85.0,92.0,28.0,35.0,0.73749995,0.20170185125122467,2.891411066055298
38,38,,0.9114583333333334,0.7124999761581421,85.0,92.0,28.0,35.0,0.73749995,0.23135176006083688,2.9073243141174316
39,39,,0.9166666666666666,0.6958333253860474,85.0,92.0,28.0,35.0,0.73749995,0.19660037569701672,8.226618766784668
40,40,,0.9270833333333334,0.7083333134651184,85.0,92.0,28.0,35.0,0.73749995,0.15191798439870277,3.3141398429870605
41,41,,0.9322916666666666,0.7333333492279053,85.0,92.0,28.0,35.0,0.73749995,0.2060633528356751,6.760653018951416
42,42,,0.9322916666666666,0.7166666388511658,85.0,92.0,28.0,35.0,0.73749995,0.2130231217791637,7.1125359535217285
43,43,,0.953125,0.762499988079071,85.0,92.0,28.0,35.0,0.73749995,0.15447882562875748,10.288949966430664
44,44,,0.9635416666666666,0.7583333253860474,85.0,92.0,28.0,35.0,0.73749995,0.15696221714218458,5.1120219230651855
45,45,,0.9427083333333334,0.737500011920929,85.0,92.0,28.0,35.0,0.73749995,0.15590009838342667,11.01917552947998
46,46,,0.9322916666666666,0.7749999761581421,85.0,92.0,28.0,35.0,0.73749995,0.1594977326070269,9.775989532470703
47,47,,0.96875,0.7583333253860474,85.0,92.0,28.0,35.0,0.73749995,0.13746277491251627,2.9574713706970215
48,48,,0.9427083333333334,0.762499988079071,85.0,92.0,28.0,35.0,0.73749995,0.15345058062424263,3.512226104736328
49,49,,0.9166666666666666,0.7124999761581421,85.0,92.0,28.0,35.0,0.73749995,0.19691647961735725,11.684619903564453
50,50,,0.9635416666666666,0.7208333611488342,85.0,92.0,28.0,35.0,0.73749995,0.12178836079935233,4.30020809173584
51,51,,0.9427083333333334,0.6208333373069763,85.0,92.0,28.0,35.0,0.73749995,0.15065976915260157,4.97308874130249
52,52,,0.9375,0.7666666507720947,85.0,92.0,28.0,35.0,0.73749995,0.17910585397233567,13.639480590820312
53,53,,0.9635416666666666,0.6708333492279053,85.0,92.0,28.0,35.0,0.73749995,0.10525884075711171,8.489801406860352
54,54,,0.9270833333333334,0.737500011920929,85.0,92.0,28.0,35.0,0.73749995,0.18507727421820164,13.085366249084473
55,55,,0.9375,0.7583333253860474,85.0,92.0,28.0,35.0,0.73749995,0.12917995949586233,7.645341396331787
56,56,,0.9635416666666666,0.7333333492279053,85.0,92.0,28.0,35.0,0.73749995,0.15183053289850554,5.88862419128418
57,57,,0.953125,0.7458333373069763,85.0,92.0,28.0,35.0,0.73749995,0.15866522894551358,3.480259418487549
58,58,,0.9479166666666666,0.7791666388511658,85.0,92.0,28.0,35.0,0.73749995,0.13397577498108149,5.117812156677246
59,59,,0.9375,0.7708333134651184,85.0,92.0,28.0,35.0,0.73749995,0.15968879560629526,14.085016250610352
60,60,,0.921875,0.762499988079071,85.0,92.0,28.0,35.0,0.73749995,0.18292338486450413,6.493975639343262
61,61,,0.9322916666666666,0.762499988079071,85.0,92.0,28.0,35.0,0.73749995,0.19342569028958678,4.781817436218262
62,62,,0.9270833333333334,0.7166666388511658,85.0,92.0,28.0,35.0,0.73749995,0.17700868379324675,10.143664360046387
63,63,,0.9583333333333334,0.7541666626930237,85.0,92.0,28.0,35.0,0.73749995,0.11345311471571524,6.430691719055176
64,64,,0.9739583333333334,0.75,85.0,92.0,28.0,35.0,0.73749995,0.08780508441850543,5.547150135040283
65,65,,0.96875,0.6708333492279053,85.0,92.0,28.0,35.0,0.73749995,0.10553191478053729,15.107346534729004
66,66,,0.9635416666666666,0.7708333134651184,85.0,92.0,28.0,35.0,0.73749995,0.10013864158342282,10.247087478637695
67,67,,0.9375,0.737500011920929,85.0,92.0,28.0,35.0,0.73749995,0.1440534939368566,6.181366920471191
68,68,,0.9166666666666666,0.7416666746139526,85.0,92.0,28.0,35.0,0.73749995,0.21493397878172496,5.610330581665039
