epoch: 1/300, train_loss: 0.5960, train_acc: 0.7344,test_loss:910.7733, test_acc: 0.4833,test_recall: 1.0000, test_precision: 0.5000
epoch: 2/300, train_loss: 0.5686, train_acc: 0.8281,test_loss:341247.1875, test_acc: 0.4958,test_recall: 1.0000, test_precision: 0.5000
epoch: 3/300, train_loss: 0.5110, train_acc: 0.8854,test_loss:2168276.2500, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 4/300, train_loss: 0.2705, train_acc: 0.9688,test_loss:982951.4375, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 5/300, train_loss: 0.2889, train_acc: 0.9427,test_loss:119233.9141, test_acc: 0.6417,test_recall: 1.0000, test_precision: 0.5000
epoch: 6/300, train_loss: 0.3264, train_acc: 0.9479,test_loss:1022853.8750, test_acc: 0.6125,test_recall: 1.0000, test_precision: 0.5000
epoch: 7/300, train_loss: 0.4241, train_acc: 0.9792,test_loss:894408.6250, test_acc: 0.5042,test_recall: 1.0000, test_precision: 0.5000
epoch: 8/300, train_loss: 0.3140, train_acc: 0.9583,test_loss:18445.6523, test_acc: 0.5875,test_recall: 1.0000, test_precision: 0.5000
epoch: 9/300, train_loss: 0.2344, train_acc: 0.9635,test_loss:532559.2500, test_acc: 0.5000,test_recall: 1.0000, test_precision: 0.5000
epoch: 10/300, train_loss: 0.2757, train_acc: 0.9479,test_loss:12491.2666, test_acc: 0.4375,test_recall: 1.0000, test_precision: 0.5000
epoch: 11/300, train_loss: 0.1264, train_acc: 0.9688,test_loss:4905.2427, test_acc: 0.4917,test_recall: 1.0000, test_precision: 0.5000
epoch: 12/300, train_loss: 0.2265, train_acc: 0.9531,test_loss:12280.1377, test_acc: 0.4292,test_recall: 1.0000, test_precision: 0.5000
epoch: 13/300, train_loss: 0.2478, train_acc: 0.9583,test_loss:36922.4609, test_acc: 0.4375,test_recall: 1.0000, test_precision: 0.5000
epoch: 14/300, train_loss: 0.1942, train_acc: 0.9635,test_loss:703.0788, test_acc: 0.5542,test_recall: 1.0000, test_precision: 0.5000
epoch: 15/300, train_loss: 0.1704, train_acc: 0.9688,test_loss:5869.1431, test_acc: 0.4208,test_recall: 1.0000, test_precision: 0.5000
epoch: 16/300, train_loss: 0.1563, train_acc: 0.9896,test_loss:63326.0117, test_acc: 0.4958,test_recall: 1.0000, test_precision: 0.5000
epoch: 17/300, train_loss: 0.1345, train_acc: 0.9896,test_loss:5319.7061, test_acc: 0.5417,test_recall: 1.0000, test_precision: 0.5000
