epoch: 1/300, train_loss: 0.6422, train_acc: 0.6771, test_loss: 18378.5391, test_acc: 0.5250 
epoch: 2/300, train_loss: 0.5526, train_acc: 0.8542, test_loss: 6670.1094, test_acc: 0.5167 
epoch: 3/300, train_loss: 0.4650, train_acc: 0.8906, test_loss: 8598.6006, test_acc: 0.5125 
epoch: 4/300, train_loss: 0.4772, train_acc: 0.9010, test_loss: 18522.7500, test_acc: 0.4667 
epoch: 5/300, train_loss: 0.4084, train_acc: 0.9375, test_loss: 6116.7075, test_acc: 0.4417 
epoch: 6/300, train_loss: 0.3680, train_acc: 0.9219, test_loss: 222.8156, test_acc: 0.5833 
epoch: 7/300, train_loss: 0.3247, train_acc: 0.9635, test_loss: 191.6303, test_acc: 0.5000 
epoch: 8/300, train_loss: 0.2820, train_acc: 0.9583, test_loss: 189.0316, test_acc: 0.5292 
epoch: 9/300, train_loss: 0.3122, train_acc: 0.9531, test_loss: 118.4750, test_acc: 0.4792 
epoch: 10/300, train_loss: 0.3971, train_acc: 0.8802, test_loss: 11796.1143, test_acc: 0.4542 
epoch: 11/300, train_loss: 0.2840, train_acc: 0.9375, test_loss: 364.3333, test_acc: 0.4667 
epoch: 12/300, train_loss: 0.4836, train_acc: 0.9219, test_loss: 1114.9597, test_acc: 0.5750 
epoch: 13/300, train_loss: 0.2664, train_acc: 0.9427, test_loss: 2.2252, test_acc: 0.5958 
epoch: 14/300, train_loss: 0.3074, train_acc: 0.9531, test_loss: 543.2867, test_acc: 0.5125 
epoch: 15/300, train_loss: 0.3563, train_acc: 0.9375, test_loss: 2.9167, test_acc: 0.3875 
epoch: 16/300, train_loss: 0.2298, train_acc: 0.9583, test_loss: 9.2483, test_acc: 0.5042 
epoch: 17/300, train_loss: 0.1959, train_acc: 0.9688, test_loss: 11.7335, test_acc: 0.5292 
epoch: 18/300, train_loss: 0.3904, train_acc: 0.9375, test_loss: 2.6975, test_acc: 0.5042 
epoch: 19/300, train_loss: 0.1961, train_acc: 0.9688, test_loss: 551.2431, test_acc: 0.5833 
epoch: 20/300, train_loss: 0.2291, train_acc: 0.9427, test_loss: 70.2844, test_acc: 0.5083 
epoch: 21/300, train_loss: 0.2887, train_acc: 0.9635, test_loss: 140.5063, test_acc: 0.5458 
epoch: 22/300, train_loss: 0.2051, train_acc: 0.9844, test_loss: 15.9108, test_acc: 0.5042 
epoch: 23/300, train_loss: 0.2858, train_acc: 0.9375, test_loss: 20.5872, test_acc: 0.6083 
epoch: 24/300, train_loss: 0.2304, train_acc: 0.9583, test_loss: 22.4587, test_acc: 0.5958 
epoch: 25/300, train_loss: 0.2072, train_acc: 0.9583, test_loss: 3.6251, test_acc: 0.5833 
epoch: 26/300, train_loss: 0.1512, train_acc: 0.9740, test_loss: 3.3916, test_acc: 0.5083 
epoch: 27/300, train_loss: 0.1956, train_acc: 0.9635, test_loss: 217.6245, test_acc: 0.4750 
epoch: 28/300, train_loss: 0.2559, train_acc: 0.9427, test_loss: 2.6822, test_acc: 0.4833 
